log_id,source_url,final_url,http_status,status,error_msg,duration_sec,crawled_at
log_2c2bf1bcd1,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,200,success,,1.07,2026-04-17T22:21:22.583639+00:00
log_a92f18a1ab,https://cumming.ucalgary.ca/departments/medical-genetics/Oksana-Suchowersky,https://cumming.ucalgary.ca/departments/medical-genetics/Oksana-Suchowersky,200,success,,0.823,2026-04-17T22:21:24.907105+00:00
log_35a11ee630,https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,200,success,,0.789,2026-04-17T22:21:27.196482+00:00
log_c543a56f4f,https://cumming.ucalgary.ca/node/18463,https://cumming.ucalgary.ca/node/18463,200,success,,2.026,2026-04-17T22:21:30.722736+00:00
log_708041fd43,https://profiles.ucalgary.ca/aaron-gruber,https://profiles.ucalgary.ca/aaron-gruber,200,success,,0.165,2026-04-17T22:21:32.388032+00:00
log_2133081503,https://profiles.ucalgary.ca/aaron-phillips,https://profiles.ucalgary.ca/aaron-phillips,200,success,,0.357,2026-04-17T22:21:34.245640+00:00
log_59dc43d4a4,https://profiles.ucalgary.ca/abdullah-al-maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,200,success,,0.38,2026-04-17T22:21:36.126164+00:00
log_ec1367607e,https://profiles.ucalgary.ca/abdul-rahman,https://profiles.ucalgary.ca/abdul-rahman,200,success,,0.054,2026-04-17T22:21:37.679814+00:00
log_0fddccddd4,https://profiles.ucalgary.ca/adel-gabriel,https://profiles.ucalgary.ca/adel-gabriel,200,success,,0.348,2026-04-17T22:21:39.528554+00:00
log_e2f7ec50c8,https://profiles.ucalgary.ca/adriana-zardini-buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,200,success,,0.666,2026-04-17T22:21:41.694923+00:00
log_6d5f4d3890,https://profiles.ucalgary.ca/adrianna-giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,200,success,,0.099,2026-04-17T22:21:43.294443+00:00
log_3e3aae1d5c,https://profiles.ucalgary.ca/alan-mcluckie,https://profiles.ucalgary.ca/alan-mcluckie,200,success,,0.674,2026-04-17T22:21:45.468498+00:00
log_6aea8b978e,https://profiles.ucalgary.ca/aleksandra-mineyko,https://profiles.ucalgary.ca/aleksandra-mineyko,200,success,,0.34,2026-04-17T22:21:47.308988+00:00
log_f5184f4bdb,https://profiles.ucalgary.ca/alexander-mcgirr,https://profiles.ucalgary.ca/alexander-mcgirr,200,success,,0.471,2026-04-17T22:21:49.280157+00:00
log_c77a88f359,https://profiles.ucalgary.ca/alex-lohman,https://profiles.ucalgary.ca/alex-lohman,200,success,,0.08,2026-04-17T22:21:50.860046+00:00
log_6eb1f56da4,https://profiles.ucalgary.ca/ali-golestani,https://profiles.ucalgary.ca/ali-golestani,200,success,,0.5,2026-04-17T22:21:52.860338+00:00
log_75bdfc9a8a,https://profiles.ucalgary.ca/alim-mitha,https://profiles.ucalgary.ca/alim-mitha,200,success,,0.339,2026-04-17T22:21:54.699304+00:00
log_ac57b009f4,https://profiles.ucalgary.ca/alvin-joselin,https://profiles.ucalgary.ca/alvin-joselin,200,success,,0.415,2026-04-17T22:21:56.614441+00:00
log_d19638cd57,https://profiles.ucalgary.ca/amanda-tyndall,https://profiles.ucalgary.ca/amanda-tyndall,200,success,,0.514,2026-04-17T22:21:58.629047+00:00
log_95beb48dd2,https://profiles.ucalgary.ca/amir-sanati-nezhad,https://profiles.ucalgary.ca/amir-sanati-nezhad,200,success,,0.818,2026-04-17T22:22:00.946775+00:00
log_374b9f58e7,https://profiles.ucalgary.ca/ami-tint,https://profiles.ucalgary.ca/ami-tint,200,success,,0.763,2026-04-17T22:22:03.210642+00:00
log_f11784c740,https://profiles.ucalgary.ca/amy-warren,https://profiles.ucalgary.ca/amy-warren,200,success,,0.63,2026-04-17T22:22:05.340653+00:00
log_647677f221,https://profiles.ucalgary.ca/ana-nikolic,https://profiles.ucalgary.ca/ana-nikolic,200,success,,0.513,2026-04-17T22:22:07.354626+00:00
