education_id,member_id,degree,institution,field_of_study,year,raw_text,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
edu_be614675d8,mem_c57a8f39f9,,University of Western Ontario,,2007,"B.S.c , University of Western Ontario, 2007",0,both,yes,yes,no
edu_a8567831a4,mem_c57a8f39f9,Doctor of Philosophy,University of British Columbia,Doctor of Philosophy Experimental Medicine,2013,"Doctor of Philosophy Experimental Medicine, University of British Columbia, 2013",1,both,yes,yes,no
edu_dcdc90035a,mem_529c362d70,,University of Dhaka,,2005,"B.Pharm. Honours Pharmacy , University of Dhaka, Bangladesh, 2005",0,both,yes,yes,no
edu_4d470f3288,mem_529c362d70,,University of Dhaka,,2006,"M.Pharm. Clinical Pharmacology and Pharmacology , University of Dhaka, Bangladesh, 2006",1,both,yes,yes,no
edu_f81bc36ac1,mem_529c362d70,Ph.D,,Ph.D. Pharmacology & Toxicology,2014,"Ph.D. Pharmacology & Toxicology, Univeristy of Toronto , 2014",2,both,yes,yes,no
edu_c1abff1650,mem_9f51021d60,PhD,University of Alberta,PhD Chemistry,,"PhD Chemistry, University of Alberta,",0,both,yes,yes,no
edu_557d6f185a,mem_9f51021d60,MSc,,MSc Chemistry,,"MSc Chemistry, Universidade Estadual de Campinas, Brazil,",1,both,yes,yes,no
edu_877ff04d68,mem_9f51021d60,BSc,,BSc Chemistry,,"BSc Chemistry, Universidade Estadual de Campinas, Brazil,",2,both,yes,yes,no
edu_d7ec9dad34,mem_9caecf64a4,Doctor of Philosophy,University of Calgary,Doctor of Philosophy Neuroscience,2022,"Doctor of Philosophy Neuroscience, University of Calgary, 2022",0,both,yes,yes,no
edu_4d5723ec6e,mem_9caecf64a4,,Harvard Medical School,,2024,"Postdoctoral Fellow Neurobiology (Pediatric Epilepsy), Harvard Medical School, Boston Children's Hospital, 2024",1,both,yes,yes,no
edu_923cb85768,mem_9caecf64a4,BA,The University of Western Ontario,BA Honors Specialization in Kinesiology,2016,"BA Honors Specialization in Kinesiology, The University of Western Ontario, 2016",2,both,yes,yes,no
edu_09a6d36bf4,mem_9461efbef5,Bachelor of Arts,University of Western Ontario,Bachelor of Arts Psychology,2001,"Bachelor of Arts Psychology, University of Western Ontario, 2001",0,both,yes,yes,no
edu_7a6254d9f3,mem_9461efbef5,,University of Western Ontario,,1997,"Bachelor of Social Work Clinical Practice, University of Western Ontario, 1997",1,both,yes,yes,no
edu_134862644f,mem_9461efbef5,,The University of Calgary,,1998,"Master's of Social Work Clinical Specialization, The University of Calgary, 1998",2,both,yes,yes,no
edu_17f40b5aa1,mem_9461efbef5,Ph.D,University of Toronto,Ph.D. Social Work,2011,"Ph.D. Social Work, University of Toronto, 2011",3,both,yes,yes,no
edu_fa84a680fd,mem_ab3c7cd459,,McGill University,,2005,"B.S. , McGill University, 2005",0,both,yes,yes,no
edu_31302cd7a5,mem_ab3c7cd459,,University of Toronto,,2012,"Doctor of Medicine , University of Toronto, 2012",1,both,yes,yes,no
edu_8c88ae4848,mem_ab3c7cd459,Doctor of Philosophy,University of British Columbia,,2019,"Doctor of Philosophy , University of British Columbia, 2019",2,both,yes,yes,no
edu_5a7a19d510,mem_ab3c7cd459,,McGill University,,2008,"M.S. , McGill University, 2008",3,both,yes,yes,no
edu_e107d41b94,mem_67336e1dbb,,University of Missouri-Columbia,,2010,"B.S. Biochemistry, University of Missouri-Columbia, 2010",0,both,yes,yes,no
edu_cc5397f6c9,mem_67336e1dbb,Doctor of Philosophy,University of Virginia,Doctor of Philosophy Molecular Physiology and Biological Physics,2014,"Doctor of Philosophy Molecular Physiology and Biological Physics, University of Virginia, 2014",1,both,yes,yes,no
edu_2830ab1fdb,mem_67336e1dbb,,University of Calgary,,2018,"Postdoctoral Fellow - Thompson Lab Neuroscience, University of Calgary, 2018",2,both,yes,yes,no
edu_1364f87f2d,mem_fc88669608,PhD,University of Calgary,PhD Biomedical Engineering,2011,"PhD Biomedical Engineering, University of Calgary, 2011",0,both,yes,yes,no
edu_3b43e00dd8,mem_fc88669608,MSc,University of Tehran,MSc Biomedical Engineering,2001,"MSc Biomedical Engineering, University of Tehran, 2001",1,both,yes,yes,no
edu_69be70e14e,mem_fc88669608,BSc,University of Tehran,BSc Electrical Engineering,1998,"BSc Electrical Engineering, University of Tehran, 1998",2,both,yes,yes,no
edu_13c51d6cf3,mem_29212b7883,,University of Michigan,,1997,"B.S. Cell, Molec. & Microbial Biolo, University of Michigan, 1997",0,both,yes,yes,no
edu_4c986b01c8,mem_29212b7883,,University of Alberta,,2002,"Doctor of Medicine Medicine, University of Alberta, 2002",1,both,yes,yes,no
edu_83b0bdf30b,mem_29212b7883,,Harvard University,,2007,"M.S. Bioengineering, Harvard University, 2007",2,both,yes,yes,no
edu_ca42f149cf,mem_feaca2a8a0,PhD,,PhD Molecular Biology,,"PhD Molecular Biology, Heinrich-Heine-Universität Düsseldorf,",0,both,yes,yes,no
edu_1a50a2b416,mem_feaca2a8a0,MSc,Bharathidasan University,MSc Microbiology,,"MSc Microbiology, Bharathidasan University,",1,both,yes,yes,no
edu_2aab3bcab5,mem_db95c2910e,,Isfahan University Technology,,2006,"B.S. Mechanical Engineering, Isfahan University Technology, 2006",0,both,yes,yes,no
edu_f63809faae,mem_db95c2910e,Doctor of Philosophy,Concordia University,Doctor of Philosophy Mechanical Engineering,2013,"Doctor of Philosophy Mechanical Engineering, Concordia University, 2013",1,both,yes,yes,no
edu_14e13188d4,mem_db95c2910e,,Amirkabir University of Technology,,2009,"M.S. Mechanical Engineering, Amirkabir University of Technology, 2009",2,both,yes,yes,no
edu_a3ac3df8a1,mem_d4ec51610b,B.A,McGill University,B.A. Honours Psychology,,"B.A. Honours Psychology , McGill University ,",0,both,yes,yes,no
edu_033f61df7b,mem_d4ec51610b,M.A,York University,M.A. Clinical Developmental Psychology,,"M.A. Clinical Developmental Psychology , York University ,",1,both,yes,yes,no
edu_dfaabe196f,mem_d4ec51610b,Ph.D,York University,Ph.D. Clinical Developmental Psychology,,"Ph.D. Clinical Developmental Psychology , York University ,",2,both,yes,yes,no
edu_6e2503bb8e,mem_d4ec51610b,,Post Doctoral Fellowship Centre for Addiction and Mental Health,,,"Post Doctoral Fellowship Centre for Addiction and Mental Health ,",3,both,yes,yes,no
edu_5eb30ae39f,mem_d2301d7aac,,University of Queensland,,1999,"B.S. Microbiology, University of Queensland, 1999",0,both,yes,yes,no
edu_7df51c819e,mem_d2301d7aac,Doctor of Philosophy,University of Calgary,,2013,"Doctor of Philosophy , University of Calgary, 2013",1,both,yes,yes,no
edu_b85e6dd596,mem_d2301d7aac,D.V.M,University of Queensland,D.V.M. Vet Medicine & Vet Science,2001,"D.V.M. Vet Medicine & Vet Science, University of Queensland, 2001",2,both,yes,yes,no
edu_c0ab6e7565,mem_f731c39857,,Dr. Nikolic is a neuropathologist with an interest in the molecular biology of brain tumours. She completed medical school at the University in Toronto,,,"Dr. Nikolic is a neuropathologist with an interest in the molecular biology of brain tumours. She completed medical school at the University in Toronto, neuropathology residency at the University of Calgary, and a doctorate in brain tumour epigenetics at the University of Calgary in the lab of Dr. Marco Gallo. She has training and expertise in both wet lab brain tumour biology and bioinformatics and takes a interdisciplinary approach to brain tumour biology.",0,both,yes,yes,no
edu_94e91bf125,mem_ccdb9fb0c5,Doctor of Philosophy,University of Toronto,Doctor of Philosophy Psychology,2007,"Doctor of Philosophy Psychology, University of Toronto, 2007",0,both,yes,yes,no
edu_20b08bf95d,mem_ccdb9fb0c5,M.A,University of Toronto,M.A. Psychology,1999,"M.A. Psychology, University of Toronto, 1999",1,both,yes,yes,no
edu_2277b20d60,mem_61c2300e70,,University of Winnipeg,,1993,"B.S. Biological Sciences, University of Winnipeg, 1993",0,both,yes,yes,no
edu_ffa04cab86,mem_61c2300e70,,University of Manitoba,,1997,"Doctor of Medicine , University of Manitoba, 1997",1,both,yes,yes,no
edu_293d6f082e,mem_61c2300e70,,University of Virginia,,2007,"M.S. Public Health, University of Virginia, 2007",2,both,yes,yes,no
edu_1ad4066108,mem_126bc39f5f,,,,,Managing Partner at FUEL Biomedical Inc. in Calgary (Biomedical Device Development & Engineering),0,both,yes,yes,no
edu_8a7e891551,mem_126bc39f5f,,,,,"During the earlier stages of my career, I focused extensively on the use of C. elegans models of human disease for drug mechanism-of-action studies as well as drug discovery purposes with most of the work based on cancer, neuromuscular and neurological indications. One particularly exciting area centered on mechanism-of-action studies of different classes of widely used antidepressants to identify novel pre-validated targets and compounds for the treatment of depression. Chemical and genetic approaches uncovered a pathway that is affected by antidepressants and regulates survival of early neuronal cells under conditions of increased cellular stress (as is likely encountered in specific brain regions of depressed patients). In a seperate approach, chemical screening was used to identify drugs that modulate a specific growth factor signalling pathway known to be involved in the molecular pathology of depression.",1,both,yes,yes,no
edu_49c74731ce,mem_126bc39f5f,,While large parts of this work were not published it did result in two summary presentations that were given in the Faculty of Medicine (Dept. Biochemstry & Molecular Biology) at the University of Calgary in late 2009.,,2009,While large parts of this work were not published it did result in two summary presentations that were given in the Faculty of Medicine (Dept. Biochemstry & Molecular Biology) at the University of Calgary in late 2009.,2,both,yes,yes,no
edu_896d88a9f1,mem_418a89fdc0,B.Sc,University of Saskatchewan,B.Sc. Physiology,1983,"B.Sc. Physiology, University of Saskatchewan, 1983",0,both,yes,yes,no
edu_2f82ff2183,mem_418a89fdc0,Doctor of Philosophy,University of Saskatchewan,Doctor of Philosophy Physiology,1988,"Doctor of Philosophy Physiology, University of Saskatchewan, 1988",1,both,yes,yes,no
edu_c6a964d6ff,mem_0f73a389b6,,University of Regina,,1989,"Bach of Med Sci , University of Regina, 1989",0,both,yes,yes,no
edu_ecdac05b80,mem_0f73a389b6,,University of Saskatchewan,,1993,"Doctor of Medicine Medicine, University of Saskatchewan, 1993",1,both,yes,yes,no
edu_038ce79276,mem_945a42f165,B.A,University of Cambridge,B.A. Zoology,1974,"B.A. Zoology, University of Cambridge, 1974",0,both,yes,yes,no
edu_6f0ed57a39,mem_945a42f165,Doctor of Philosophy,University of Wales,Doctor of Philosophy Biological Sciences,1977,"Doctor of Philosophy Biological Sciences, University of Wales, 1977",1,both,yes,yes,no
edu_17c62a7875,mem_945a42f165,M.A,University of Cambridge,M.A. Zoology,1977,"M.A. Zoology, University of Cambridge, 1977",2,both,yes,yes,no
