member_id,name,profile_url,source_url,url_slug,honorific,page_title,biography,looking_for,crawl_status,crawl_error,crawled_at
mem_03c6777c7f,Wayne S.R. Chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,dr-wayne-sr-chen,,Wayne S.R. Chen | Department of Biochemistry & Molecular Biology | Cumming School of Medicine | University of Calgary,,,success,,2026-04-17T22:21:22.583639+00:00
mem_d724fe83a8,Oksana Suchowersky,https://cumming.ucalgary.ca/departments/medical-genetics/Oksana-Suchowersky,https://cumming.ucalgary.ca/departments/medical-genetics/Oksana-Suchowersky,Oksana-Suchowersky,,Oksana Suchowersky | Cumming School of Medicine | University of Calgary,"Biography Dr. Suchowersky is a neurologist and geneticist whose research interests include understanding the genetic factors related to the development of neurodegenerative disorders, and developing new treatments for these disorders.",,success,,2026-04-17T22:21:24.907105+00:00
mem_7a99d9b527,Morley Hollenberg,https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,morley-hollenberg,,Morley Hollenberg | Department of Physiology and Pharmacology | Cumming School of Medicine | University of Calgary,,,success,,2026-04-17T22:21:27.196482+00:00
mem_d46afd103a,Ki-Young Lee,https://cumming.ucalgary.ca/node/18463,https://cumming.ucalgary.ca/node/18463,18463,,Ki-Young Lee | Cumming School of Medicine | University of Calgary,"Biography 2019-present General Faculty Council (GFC) Member, University of Calgary, Calgary, AB. Canada. 2019/7 Invited Speaker/Session Chair, 4th Global Insight Conference on Breast Cancer, London, UK 2018 Canadian Institutes of Health Research (CIHR)'s CM2 Grant Panel Member 2014-2016 CIHR's New Investigator Panel Member. 2012/9 - 2015/8 General Faculty Council (GFC) Member, University of Calgary, Calgary, AB. Canada. 2012-present Full Professor/Tenured, Department of Cell Biology and Anatomy, University of Calgary, Calgary, AB. Canada. 2012/2 - 2015/7 Symposium Chair, Canada Korea Conference, Association of Korean-Canadian Scientist and Engineers (AKCSE) 2012-2014 CIHR Fellowships-Post-PhD Awards Committee Member 2011-2013 Canadian Breast Cancer Foundation (CBCF), Grant Review Panel Member 2012/2 - 2015/7 Board of Directors, Association of Korean-Canadian Scientist and Engineers (AKCSE) 2011/9 - 2013/4 Vice-President, Association of Korean-Canadian Scientists and Engineers (AKCSE)-Calgary 2012/9 - 2013/3 Board of Directors, Faculty Association Faculty Association, University of Calgary 2004/7 - 2012/3 Associate Professor, Department of Cell Biology & Anatomy, University of Calgary, Calgary, AB. Canada 2011/3 - 2012/2 Liaison Officer in Calgary, Consulate General of Korea in Vancouver 2008/5 - 2011/12 Founding President, Calgary Korean Scholarship Foundation (CKSF) 2003/1 - 2011/8 Director, Peptide Synthesis Core Facility, Faculty of Medicine, University of Calgary 2004/7 - 2011/6 AHFMR Senior Scholar, AHFMR 1999/7 - 2004/6 AHFMR Scholar, AHFMR 1999/7 - 2004/6 Assistant Professor, Department of Cell Biology and Anatomy, University of Calgary, Calgary, AB. Canada. 2002/2 - 2003/3 Associate Editor, Journal of Alzheimer's Disease 1996/4 – 1999/6 Adj. Assisant Professor, Department of Cell Biology and Anatomy, University of Calgary, Calgary, AB. Canada 1993/9 - 1996/7 AHFMR Fellow, University of Calgary, Calgary, AB., Canada",,success,,2026-04-17T22:21:30.722736+00:00
mem_bd2c4a5235,Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,https://profiles.ucalgary.ca/aaron-gruber,aaron-gruber,Dr.,Aaron Gruber | UCalgary Profiles | University of Calgary,,,success,,2026-04-17T22:21:32.388032+00:00
mem_c57a8f39f9,Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,https://profiles.ucalgary.ca/aaron-phillips,aaron-phillips,Dr.,Aaron Phillips | UCalgary Profiles | University of Calgary,"Biography Aaron Phillips was trained in experimental medicine and biosciences. He studies the interactions between the nervous and cardiovascular systems, and how these interactions are disrupted in clinical conditions. His research has driven the development of enhanced monitoring and therapeutics for neurological and hemodynamic conditions. After obtaining the Banting Fellowship at the University of British Columbia (UBC), he established his laboratory at the University of Calgary in 2017. He is now a Professor within the departments of Clinical Neurosciences, Biomedical Engineering, Physiology & Pharmacology, and Cardiac Sciences. He also serves as the Associate Dean (Innovation and Commercialization) for the Medical School. Within the Foothills Medical Centre, he is Director of RESTORE.network, which is a multi-million dollar platform comprised of >30 investigators dedicated to developing translational technology for neurological injury. He has received awards such as the Science and PINS Prize in Neuromodulation from Science | AAS, Libin Researcher of the Year, the Brain Canada Leader, the Arthur Guyton Award of Excellence in Integrative Medicine, the Beverley Bishop Award for Neuroscience, and the Top 40 Under 40 from Avenue Magazine. He founded and leads a graduate-level course on commercializing medical neuro-technologies, and has nearly 20 patents spanning mathematical modelling, neurostimulation hardware, sensors, closed-loops system, and brain computer interfaces. His lab publishes in top journals such as Nature (n=2), Nature Medicine , and Circulation Research .",,success,,2026-04-17T22:21:34.245640+00:00
mem_529c362d70,Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,abdullah-al-maruf,Dr.,Abdullah Al Maruf | UCalgary Profiles | University of Calgary,"Biography Dr. Maruf is an internationally-trained pharmacist and earned a Master's degree in clinical pharmacy & pharmacology and a Ph.D. in pharmacology & toxicology. Dr. Maruf facilitated the development of pharmacogenetic research facilities in his home country – Bangladesh, and published the first paper on drug-metabolizing enzyme polymorphisms in the Bangladeshi population during his master of pharmacy study. During his Ph.D. at the University of Toronto, Dr. Maruf investigated the connections between inflammation and xenobiotic-induced liver injury and the roles of carbonyl metabolizing enzymes in health and disease. Most recently, as a research scientist and co-investigator, Dr. Maruf was instrumental in launching Canada’s first pharmacogenetic testing service in Western Canada to improve drug treatment outcomes in patients receiving mental health care.",,success,,2026-04-17T22:21:36.126164+00:00
mem_5559bbda00,Abdul Rahman,https://profiles.ucalgary.ca/abdul-rahman,https://profiles.ucalgary.ca/abdul-rahman,abdul-rahman,,Abdul Rahman | UCalgary Profiles | University of Calgary,,,success,,2026-04-17T22:21:37.679814+00:00
mem_5f5dfc3246,Adel Gabriel,https://profiles.ucalgary.ca/adel-gabriel,https://profiles.ucalgary.ca/adel-gabriel,adel-gabriel,,Adel Gabriel | UCalgary Profiles | University of Calgary,,,success,,2026-04-17T22:21:39.528554+00:00
mem_9f51021d60,Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,adriana-zardini-buzatto,,Adriana Zardini Buzatto | UCalgary Profiles | University of Calgary,"Biography I began my research journey as an undergraduate student in Brazil in 2008. After completing my master’s degree in targeted metabolomics, I enrolled in the Ph.D. program at the University of Alberta to investigate lipidomics of biological samples using nanoLC and UHPLC-MS, including lipid biomarkers of cystic fibrosis, Parkinson's, dementia, Alzheimer's, and other human conditions. After graduating in 2020, I joined The Metabolomics Innovation Centre (TMIC) as a scientist, where I led a team that applied the methodologies I developed for service work and collaborative research focused on lipids. I joined the Department of Biological Sciences at the University of Calgary in July/2023 as an Assistant Professor and Canada Research Chair in Lipidomics . My emerging program focuses on the role of lipid species in human metabolism and diseases, with particular emphasis on the role of lipids in the gut microbiome, antimicrobial resistance, intercellular communication through extracellular vesicles, and brain and neurodegeneration.",I'm looking for... Research partners I am looking for collaborations to study the relationship between lipids and human diseases. Please contact me for more information.,success,,2026-04-17T22:21:41.694923+00:00
