position_id,member_id,title,department,faculty,institution,affiliation_type,url,raw_text,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
pos_0665ee12ac,mem_bd2c4a5235,Professor,,,,,,Professor,0,both,yes,yes,no
pos_865df36d60,mem_bd2c4a5235,Cumming School of Medicine,Department of Cell Biology and Anatomy,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Cell Biology and Anatomy",1,both,yes,yes,no
pos_345b3b44d1,mem_bd2c4a5235,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_8346f084d1,mem_bd2c4a5235,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_3a50eedb14,mem_bd2c4a5235,Child Health & Wellness Researcher,,,,,,Child Health & Wellness Researcher,4,both,yes,yes,no
pos_e215dbeb2a,mem_bd2c4a5235,Alberta Children's Hospital Research Institute,Owerko Centre,,,,,"Alberta Children's Hospital Research Institute, Owerko Centre",5,both,yes,yes,no
pos_f6148c99e8,mem_c57a8f39f9,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_62a37adfca,mem_c57a8f39f9,Cumming School of Medicine,Department of Clinical Neurosciences,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Clinical Neurosciences",1,both,yes,yes,no
pos_c38ffbc58f,mem_c57a8f39f9,Associate Dean - Innovation and Commercialization,,,,,,Associate Dean - Innovation and Commercialization,2,both,yes,yes,no
pos_f4bda73778,mem_c57a8f39f9,Cumming School of Medicine,,Cumming School Of Medicine,,,,Cumming School of Medicine,3,both,yes,yes,no
pos_fb5864e3b2,mem_c57a8f39f9,Director,,,,,,Director,4,both,yes,yes,no
pos_61c8e3688a,mem_c57a8f39f9,RESTORE.net,,,,,,RESTORE.net,5,both,yes,yes,no
pos_46f74542a9,mem_c57a8f39f9,Full Member,,,,,,Full Member,6,both,yes,yes,no
pos_ea18f6333b,mem_c57a8f39f9,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,7,both,yes,yes,no
pos_e171f9b9a9,mem_c57a8f39f9,Member,,,,,,Member,8,both,yes,yes,no
pos_c12a2d57a6,mem_c57a8f39f9,Libin Cardiovascular Institute,,,,,,Libin Cardiovascular Institute,9,both,yes,yes,no
pos_db68e61e52,mem_529c362d70,Adjunct Assistant Professor,,,,adjunct,,Adjunct Assistant Professor,0,both,yes,yes,no
pos_3894766aee,mem_529c362d70,Cumming School of Medicine,Department of Psychiatry,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Psychiatry",1,both,yes,yes,no
pos_c51bbdd96a,mem_529c362d70,Associate Member,,,,associate member,,Associate Member,2,both,yes,yes,no
pos_85405bde45,mem_529c362d70,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,3,both,yes,yes,no
pos_1bece7c497,mem_5559bbda00,Clinical Associate Professor,,,,,,Clinical Associate Professor,0,both,yes,yes,no
pos_01840b1981,mem_5559bbda00,Cumming School of Medicine,,Cumming School Of Medicine,,,,Cumming School of Medicine,1,both,yes,yes,no
pos_eb6fe09d88,mem_5559bbda00,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_2bc0540fa2,mem_5559bbda00,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_96ac9c2cef,mem_5559bbda00,Associate Member,,,,associate member,,Associate Member,4,both,yes,yes,no
pos_3e5c17cf4d,mem_5559bbda00,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,5,both,yes,yes,no
pos_cbbaf2c968,mem_5f5dfc3246,Clinical Associate Professor,,,,,,Clinical Associate Professor,0,both,yes,yes,no
pos_841b89fae9,mem_5f5dfc3246,Cumming School of Medicine,,Cumming School Of Medicine,,,,Cumming School of Medicine,1,both,yes,yes,no
pos_65c5a82aff,mem_5f5dfc3246,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_6c2e130ff3,mem_5f5dfc3246,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
pos_9f4e35eab3,mem_9f51021d60,Assistant Professor,,,,,,Assistant Professor,0,both,yes,yes,no
pos_3b055a6aad,mem_9f51021d60,Faculty of Science,Department of Biological Sciences,Faculty Of Science,,,https://science.ucalgary.ca,"Faculty of Science , Department of Biological Sciences",1,both,yes,yes,no
pos_c169f76530,mem_9f51021d60,Natural Sciences and Engineering Research Council of Canada Tier 2 CRC in Lipidomics,,,,,,Natural Sciences and Engineering Research Council of Canada Tier 2 CRC in Lipidomics,2,both,yes,yes,no
pos_252a33804e,mem_9f51021d60,Full Member,,,,,,Full Member,3,both,yes,yes,no
pos_3d3494430e,mem_9f51021d60,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,4,both,yes,yes,no
pos_ba7b951271,mem_9f51021d60,Associate Member,,,,associate member,,Associate Member,5,both,yes,yes,no
pos_fdf6420d1e,mem_9f51021d60,Mathison Centre for Mental Health Research and Education,,,,,,Mathison Centre for Mental Health Research and Education,6,both,yes,yes,no
pos_17f153950b,mem_9caecf64a4,Assistant Professor,,,,,,Assistant Professor,0,both,yes,yes,no
pos_4c91df27ef,mem_9caecf64a4,Cumming School of Medicine,Department of Psychiatry,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Psychiatry",1,both,yes,yes,no
pos_60468b1ccc,mem_9caecf64a4,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_0388e67597,mem_9caecf64a4,Hotchkiss Brain Institute,Mathison Centre for Mental Health Research and Education,,,,,"Hotchkiss Brain Institute, Mathison Centre for Mental Health Research and Education",3,both,yes,yes,no
pos_9a918da52a,mem_9caecf64a4,Child Health and Wellness Researcher,,,,,,Child Health and Wellness Researcher,4,both,yes,yes,no
pos_1ad3037b51,mem_9caecf64a4,Alberta Children's Hospital Research Institute,Owerko Centre,,,,,"Alberta Children's Hospital Research Institute, Owerko Centre",5,both,yes,yes,no
pos_198f7f8637,mem_9caecf64a4,Cumming School of Medicine,Department of Clinical Neurosciences,Cumming School Of Medicine,,,,"Cumming School of Medicine, Department of Clinical Neurosciences",6,both,yes,yes,no
pos_a4b78c40a2,mem_9461efbef5,Associate Professor,,,,,,Associate Professor,0,both,yes,yes,no
pos_dba1a6ca57,mem_9461efbef5,Faculty of Social Work,Calgary Campus,Faculty Of Social Work,,,,"Faculty of Social Work, Calgary Campus",1,both,yes,yes,no
pos_987d9aaece,mem_9461efbef5,Full Member,,,,,,Full Member,2,both,yes,yes,no
pos_026f931868,mem_9461efbef5,Hotchkiss Brain Institute,,,,,,Hotchkiss Brain Institute,3,both,yes,yes,no
