publication_id,member_id,title,authors,journal,year,url,raw_text,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
pub_a3cc3e0a7a,mem_7a99d9b527,,,,,http://www.ncbi.nlm.nih.gov/sites/entrez?db=pubmed&cmd=DetailsSearch&term=(Hollenberg+MD[Author]),View publications on PubMed,0,both,yes,yes,no
pub_54c67b6b49,mem_d46afd103a,,,,,https://scholar.google.com/citations?user=ZQmFgf0AAAAJ&hl=en,Google Scholar,0,both,yes,yes,no
pub_e99b4b0def,mem_529c362d70,,,,,https://scholar.google.com/citations?user=XUnmKGwAAAAJ,Google Scholar,0,both,yes,yes,no
pub_8e06c0f070,mem_9f51021d60,,,,,https://scholar.google.ca/citations?hl=en&user=if89VXEAAAAJ&view_op=list_works&sortby=pubdate,Google Scholar,0,both,yes,yes,no
pub_c4c95d143e,mem_9461efbef5,,,,2008,,Child welfare in the 21st century. Duncan Lindsey; Alan McLuckie; Aron Shlonsky. Oxford University Press. 16-Jan. (2008),0,both,yes,yes,no
pub_96c77b8850,mem_9461efbef5,,,,2013,,Narrative play therapy with families.. Melissa Rowbotham; Alan McLuckie. Jason Aronson Publishers. 125-158. (2013),1,both,yes,yes,no
pub_141d864017,mem_ab3c7cd459,,,,,https://scholar.google.ca/citations?user=f1BTB90AAAAJ&hl=en,Google Scholar,0,both,yes,yes,no
pub_ee7409038d,mem_29212b7883,,,,2019,,Hypoxia enhances the angiogenic properties of adipose stem cell-derived extracellular vesicles in culture.. Jolene Phelps; Neil Alexander Duncan; Alim Mitha; David Arthur Hart; Arindom Sen. (2019),0,both,yes,yes,no
pub_6d2b8cbc83,mem_29212b7883,,,,2018,,Adipose stem cell-derived extracellular vesicles promote angiogenesis in brain microvascular endothelial cells.. Jolene Phelps; Arindom Sen; Alim Mitha; Neil Alexander Duncan. (2018),1,both,yes,yes,no
pub_fd3c4359ef,mem_feaca2a8a0,,,,,https://scholar.google.ca/citations?hl=en&user=cyLK2lQAAAAJ,Google Scholar,0,both,yes,yes,no
pub_4c9a3f02ca,mem_db95c2910e,,,,2017,,Flexible electronic devices for biomedical applications. Mahdi Nikkhad; Mohsen Akbari; Pouya Mostafalu; Amir Sanati Nezhad. 341-366. (2017),0,both,yes,yes,no
pub_859f441444,mem_db95c2910e,,,,2019,,Droplet-based microfluidic platforms: an overview with focus on applications in biofuels. Davood Khojasteh; Amir Sanati Nezhad; Mohammad Manshadi; Ahmad Abdelrehim; Reza Kalami. Elsevier. 09-Jan. (2019),1,both,yes,yes,no
pub_48abf1aaf4,mem_db95c2910e,,,,2019,,Microreactors and their applications in bioenergy production. Reza Kamali; Mahdi Gholami; Amir Sanati Nezhad. Elsevier. 10-Jan. (2019),2,both,yes,yes,no
pub_1cae21c93c,mem_db95c2910e,,,,2018,,On-chip chromatography with nanomaterials. Farideh Haghighi; Zahra Talebpour; Amir Sanati Nezhad. Elsevier. 343-358. (2018),3,both,yes,yes,no
pub_14a53e77ac,mem_d4ec51610b,,,,,https://scholar.google.ca/citations?user=NH_yhQsAAAAJ&hl=en&oi=ao,Google Scholar,0,both,yes,yes,no
pub_20331cef1f,mem_d2301d7aac,,,,2018,,Hematolymphatic System. Jennifer Davies; Amy Louise Warren. CABI. (2018),0,both,yes,yes,no
pub_f7a0c1e297,mem_d2301d7aac,,,,2018,,Pathology terms. Amy Louise Warren. Elsevier. (2018),1,both,yes,yes,no
pub_a4b056b182,mem_d2301d7aac,,,,2019,,"Structure, function and disorders of the lymphoid organs.. Amy Louise Warren; Robin M Yates. Wiley-Blackwell. (2019)",2,both,yes,yes,no
pub_02e40686fb,mem_d2301d7aac,,,,2019,,Lymphopoiesis. Robin M Yates; Amy Louise Warren. Wiley-Blackwell. (2019),3,both,yes,yes,no
pub_8fcff93de3,mem_d2301d7aac,,,,2014,,Veterinary clinical laboratory immunology. Amy Louise Warren. University Press of Colorado. (2014),4,both,yes,yes,no
pub_4fe9ca5370,mem_945a42f165,,,,,https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=bulloch+ag&btnG=,Google Scholar,0,both,yes,yes,no
pub_9268878170,mem_41979986b6,,,,2023,https://doi.org/10.1016/j.cpr.2023.102336,"Cognitive-behavioral treatment for gambling harm: Umbrella review and meta-analysis . Pfund, R. A., Ginley, M. K., Kim, H. S., Boness, C. L., Horn, T. L., & Whelan, J. P. . Clinical Psychology Review. (2023)",0,both,yes,yes,no
pub_4cfd1e14c1,mem_41979986b6,,,,2023,https://doi.org/10.1037/adb0000966,"This time with feeling: Placing an in-play sports bet is a vehicle for emotion regulation . Vieira, J. L., Kim, H. S., Clark, L., Tabri, N., & Wohl, M. J. A. . Psychology of Addictive Behaviors. (2023)",1,both,yes,yes,no
