research_area_id,member_id,area,normalized_area,sort_order,extraction_source,strict_extracted,permissive_extracted,permissive_only
rea_03f9a79f8a,mem_03c6777c7f,cellular basis of cardiac arrhythmia,cellular basis of cardiac arrhythmia,1,both,yes,yes,no
rea_7defa65ad6,mem_03c6777c7f,(ii) the molecular actions of pro,ii the molecular actions of pro,2,both,yes,yes,no
rea_94e0f5cd9c,mem_03c6777c7f,anti-arrhythmic drugs,anti arrhythmic drugs,3,both,yes,yes,no
rea_f90f9b53f0,mem_03c6777c7f,development of novel anti-arrhythmic therapies,development of novel anti arrhythmic therapies,4,both,yes,yes,no
rea_8c4ebe2ef6,mem_03c6777c7f,(iv) regulation of ryr by phosphorylation,iv regulation of ryr by phosphorylation,5,both,yes,yes,no
rea_de952e0e32,mem_03c6777c7f,single channel recordings in planar lipid bilayers,single channel recordings in planar lipid bilayers,6,both,yes,yes,no
rea_6b0470a97b,mem_03c6777c7f,fluorescence ca2+ imaging,fluorescence ca2 imaging,7,both,yes,yes,no
rea_ffa736f98f,mem_03c6777c7f,current research interests focus on: (i) the molecular,current research interests focus on i the molecular,0,permissive_only,no,yes,yes
rea_03f8f85dc2,mem_d724fe83a8,neuroprotective therapies,neuroprotective therapies,0,both,yes,yes,no
rea_9bc38e0071,mem_d724fe83a8,developing new treatments for these disorders,developing new treatments for these disorders,1,both,yes,yes,no
rea_76f35a6bf6,mem_7a99d9b527,molecular pharmacology,molecular pharmacology,0,both,yes,yes,no
rea_4c3cb45eda,mem_7a99d9b527,pathophysiology of receptor-mediated signaling by growth factors,pathophysiology of receptor mediated signaling by growth factors,1,both,yes,yes,no
rea_819cdf9e2e,mem_7a99d9b527,inflammatory processes triggered by microenvironment proteolytic enzymes,inflammatory processes triggered by microenvironment proteolytic enzymes,2,both,yes,yes,no
rea_ada5947e81,mem_d46afd103a,alzheimer disease,alzheimer disease,0,both,yes,yes,no
rea_db486ad8f6,mem_d46afd103a,tau hyperphosphorylation in ad brain,tau hyperphosphorylation in ad brain,4,both,yes,yes,no
rea_307c1cdc6b,mem_bd2c4a5235,attention deficit disorder,attention deficit disorder,0,both,yes,yes,no
rea_abfae87bd4,mem_bd2c4a5235,autism,autism,1,both,yes,yes,no
rea_49db5de036,mem_bd2c4a5235,environmental toxins,environmental toxins,2,both,yes,yes,no
rea_aa2fe62c7e,mem_bd2c4a5235,depression,depression,3,both,yes,yes,no
rea_9053f6a4fa,mem_bd2c4a5235,inflammatory molecules,inflammatory molecules,4,both,yes,yes,no
rea_901cddce69,mem_bd2c4a5235,neuromodulators like dopamine,neuromodulators like dopamine,5,both,yes,yes,no
rea_f4b044bdad,mem_bd2c4a5235,neurodevelopmental disorders,neurodevelopmental disorders,7,both,yes,yes,no
rea_cb95e5eedc,mem_bd2c4a5235,mental health,mental health,8,both,yes,yes,no
rea_434b6f18e0,mem_bd2c4a5235,machine learning,machine learning,9,both,yes,yes,no
