source_url,strict_member_name,permissive_member_name,merged_member_name,strict_position_count,permissive_position_count,merged_position_count,strict_contact_count,permissive_contact_count,merged_contact_count,strict_education_count,permissive_education_count,merged_education_count,strict_research_area_count,permissive_research_area_count,merged_research_area_count,strict_activity_count,permissive_activity_count,merged_activity_count,strict_publication_count,permissive_publication_count,merged_publication_count,strict_news_count,permissive_news_count,merged_news_count,strict_research_areas,permissive_research_areas,permissive_strict_research_area_count,permissive_strict_research_areas,merged_research_areas,permissive_only_research_areas,strict_positions_preview,permissive_positions_preview,merged_positions_preview,strict_activity_preview,permissive_activity_preview,merged_activity_preview
https://cumming.ucalgary.ca/departments/bmb/profiles/dr-wayne-sr-chen,Wayne S.R. Chen,Wayne S.R. Chen,Wayne S.R. Chen,0,0,0,2,2,2,0,0,0,7,8,8,2,2,2,0,0,0,0,0,0,cellular basis of cardiac arrhythmia | (ii) the molecular actions of pro | anti-arrhythmic drugs | development of novel anti-arrhythmic therapies | (iv) regulation of ryr by phosphorylation | single channel recordings in planar lipid bilayers | fluorescence ca2+ imaging,cellular basis of cardiac arrhythmia | (ii) the molecular actions of pro | anti-arrhythmic drugs | development of novel anti-arrhythmic therapies | (iv) regulation of ryr by phosphorylation | single channel recordings in planar lipid bilayers | fluorescence ca2+ imaging | current research interests focus on: (i) the molecular,0,,cellular basis of cardiac arrhythmia | (ii) the molecular actions of pro | anti-arrhythmic drugs | development of novel anti-arrhythmic therapies | (iv) regulation of ryr by phosphorylation | single channel recordings in planar lipid bilayers | fluorescence ca2+ imaging | current research interests focus on: (i) the molecular,current research interests focus on: (i) the molecular,,,,Research in my laboratory is directed towards understanding the structure/function relationships and physiological roles of the calcium release channel (ryanodine receptor) (RyR) in cardiac function.  | Research in my laboratory is directed towards understanding the structure/function relationships and physiological roles of the calcium release channel (ryanodine receptor) (RyR) in cardiac function. ,Research in my laboratory is directed towards understanding the structure/function relationships and physiological roles of the calcium release channel (ryanodine receptor) (RyR) in cardiac function.  | Research in my laboratory is directed towards understanding the structure/function relationships and physiological roles of the calcium release channel (ryanodine receptor) (RyR) in cardiac function. ,Research in my laboratory is directed towards understanding the structure/function relationships and physiological roles of the calcium release channel (ryanodine receptor) (RyR) in cardiac function.  | Research in my laboratory is directed towards understanding the structure/function relationships and physiological roles of the calcium release channel (ryanodine receptor) (RyR) in cardiac function. 
https://cumming.ucalgary.ca/departments/medical-genetics/Oksana-Suchowersky,Oksana Suchowersky,Oksana Suchowersky,Oksana Suchowersky,0,0,0,2,2,2,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,neuroprotective therapies | developing new treatments for these disorders,neuroprotective therapies | developing new treatments for these disorders,0,,neuroprotective therapies | developing new treatments for these disorders,,,,,,,
https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,Morley Hollenberg,Morley Hollenberg,Morley Hollenberg,0,0,0,2,2,2,0,0,0,3,3,3,2,5,5,1,1,1,0,0,0,molecular pharmacology | pathophysiology of receptor-mediated signaling by growth factors | inflammatory processes triggered by microenvironment proteolytic enzymes,molecular pharmacology | pathophysiology of receptor-mediated signaling by growth factors | inflammatory processes triggered by microenvironment proteolytic enzymes,0,,molecular pharmacology | pathophysiology of receptor-mediated signaling by growth factors | inflammatory processes triggered by microenvironment proteolytic enzymes,,,,,"My research interests over time have focused on the biosynthesis and actions of peptide hormones (oxytocin, vasopressin, angiotensin, insulin, epidermal growth factor) and on the molecular pharmacolog | Angie Lamb alamb@ucalgary.ca 403-210-8635","My research interests over time have focused on the biosynthesis and actions of peptide hormones (oxytocin, vasopressin, angiotensin, insulin, epidermal growth factor) and on the molecular pharmacolog | Angie Lamb alamb@ucalgary.ca 403-210-8635 | BSc (Honours, Chemistry) University of Manitoba","My research interests over time have focused on the biosynthesis and actions of peptide hormones (oxytocin, vasopressin, angiotensin, insulin, epidermal growth factor) and on the molecular pharmacolog | Angie Lamb alamb@ucalgary.ca 403-210-8635 | BSc (Honours, Chemistry) University of Manitoba"
https://cumming.ucalgary.ca/node/18463,Ki-Young Lee,Ki-Young Lee,Ki-Young Lee,0,0,0,2,2,2,0,0,0,2,2,2,10,10,10,1,1,1,0,0,0,alzheimer disease | tau hyperphosphorylation in ad brain,alzheimer disease | tau hyperphosphorylation in ad brain,0,,alzheimer disease | tau hyperphosphorylation in ad brain,,,,,"Research Personnel: | Jungkwon Lee, Postdoctoral Fellow Patrick Sipila, PhD student Hamza Kanram, MSc student | Undergraduate students: Joan Chu and Baasil Afzal","Research Personnel: | Jungkwon Lee, Postdoctoral Fellow Patrick Sipila, PhD student Hamza Kanram, MSc student | Undergraduate students: Joan Chu and Baasil Afzal","Research Personnel: | Jungkwon Lee, Postdoctoral Fellow Patrick Sipila, PhD student Hamza Kanram, MSc student | Undergraduate students: Joan Chu and Baasil Afzal"
https://profiles.ucalgary.ca/aaron-gruber,Aaron Gruber,Aaron Gruber,Aaron Gruber,6,6,6,1,1,1,0,0,0,9,10,10,3,3,3,0,0,0,0,0,0,attention deficit disorder | autism | environmental toxins | depression | inflammatory molecules | neuromodulators like dopamine | neurodevelopmental disorders | mental health | machine learning,attention deficit disorder | autism | environmental toxins | depression | inflammatory molecules | neuromodulators like dopamine | neurodevelopmental disorders | mental health | machine learning | more information lab website: gruberlab. org,0,,attention deficit disorder | autism | environmental toxins | depression | inflammatory molecules | neuromodulators like dopamine | neurodevelopmental disorders | mental health | machine learning | more information lab website: gruberlab. org,more information lab website: gruberlab. org,Professor | Cumming School of Medicine | Full Member,Professor | Cumming School of Medicine | Full Member,Professor | Cumming School of Medicine | Full Member,Brain and Mental Health (2015-2021) | Child Health and Wellness (2020-2025) | Lab Website: gruberlab.org,Brain and Mental Health (2015-2021) | Child Health and Wellness (2020-2025) | Lab Website: gruberlab.org,Brain and Mental Health (2015-2021) | Child Health and Wellness (2020-2025) | Lab Website: gruberlab.org
https://profiles.ucalgary.ca/aaron-phillips,Aaron Phillips,Aaron Phillips,Aaron Phillips,10,10,10,1,1,1,2,2,2,11,11,11,18,18,18,0,0,0,0,0,0,he studies the interactions between the nervous | cardiovascular systems | has driven the development of enhanced monitoring | therapeutics for neurological | biomedical engineering | physiology & pharmacology | pins prize in neuromodulation from science | brain canada leader | leads a graduate-level course on commercializing medical neuro-technologies | neurostimulation hardware | brain computer interfaces,he studies the interactions between the nervous | cardiovascular systems | has driven the development of enhanced monitoring | therapeutics for neurological | biomedical engineering | physiology & pharmacology | pins prize in neuromodulation from science | brain canada leader | leads a graduate-level course on commercializing medical neuro-technologies | neurostimulation hardware | brain computer interfaces,0,,he studies the interactions between the nervous | cardiovascular systems | has driven the development of enhanced monitoring | therapeutics for neurological | biomedical engineering | physiology & pharmacology | pins prize in neuromodulation from science | brain canada leader | leads a graduate-level course on commercializing medical neuro-technologies | neurostimulation hardware | brain computer interfaces,,Associate Professor | Cumming School of Medicine | Associate Dean - Innovation and Commercialization,Associate Professor | Cumming School of Medicine | Associate Dean - Innovation and Commercialization,Associate Professor | Cumming School of Medicine | Associate Dean - Innovation and Commercialization,Course number Course title Semester | Coordinator-Neuro-III MDNS Program Neuro-commercialization 2021-Present | Neuro-II MDNS Program Neuroprosthetic development 2021,Course number Course title Semester | Coordinator-Neuro-III MDNS Program Neuro-commercialization 2021-Present | Neuro-II MDNS Program Neuroprosthetic development 2021,Course number Course title Semester | Coordinator-Neuro-III MDNS Program Neuro-commercialization 2021-Present | Neuro-II MDNS Program Neuroprosthetic development 2021
https://profiles.ucalgary.ca/abdullah-al-maruf,Abdullah Al Maruf,Abdullah Al Maruf,Abdullah Al Maruf,4,4,4,1,1,1,3,3,3,10,11,11,1,1,1,1,1,1,0,0,0,precision pharmacotherapy | adverse drug reactions | translational pharmacotherapy | population therapeutics and health outcomes | scholarship of teaching and learning | population therapeutics | health outcomes | maruf investigated the connections between inflammation | xenobiotic-induced liver injury | roles of carbonyl metabolizing enzymes in health,precision pharmacotherapy | adverse drug reactions | translational pharmacotherapy | population therapeutics and health outcomes | scholarship of teaching and learning | population therapeutics | health outcomes | maruf investigated the connections between inflammation | xenobiotic-induced liver injury | roles of carbonyl metabolizing enzymes in health | research pharmacogenomics,0,,precision pharmacotherapy | adverse drug reactions | translational pharmacotherapy | population therapeutics and health outcomes | scholarship of teaching and learning | population therapeutics | health outcomes | maruf investigated the connections between inflammation | xenobiotic-induced liver injury | roles of carbonyl metabolizing enzymes in health | research pharmacogenomics,research pharmacogenomics,Adjunct Assistant Professor | Cumming School of Medicine | Associate Member,Adjunct Assistant Professor | Cumming School of Medicine | Associate Member,Adjunct Assistant Professor | Cumming School of Medicine | Associate Member,Brain and Mental Health (2015-2021),Brain and Mental Health (2015-2021),Brain and Mental Health (2015-2021)
https://profiles.ucalgary.ca/abdul-rahman,Abdul Rahman,Abdul Rahman,Abdul Rahman,6,6,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,Clinical Associate Professor | Cumming School of Medicine | Full Member,Clinical Associate Professor | Cumming School of Medicine | Full Member,Clinical Associate Professor | Cumming School of Medicine | Full Member,,,
https://profiles.ucalgary.ca/adel-gabriel,Adel Gabriel,Adel Gabriel,Adel Gabriel,4,4,4,1,1,1,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,clinical outcomes | mood disorders | anxiety disorders | attention deficit disorder,clinical outcomes | mood disorders | anxiety disorders | attention deficit disorder,0,,clinical outcomes | mood disorders | anxiety disorders | attention deficit disorder,,Clinical Associate Professor | Cumming School of Medicine | Full Member,Clinical Associate Professor | Cumming School of Medicine | Full Member,Clinical Associate Professor | Cumming School of Medicine | Full Member,,,
https://profiles.ucalgary.ca/adriana-zardini-buzatto,Adriana Zardini Buzatto,Adriana Zardini Buzatto,Adriana Zardini Buzatto,7,7,7,1,1,1,3,3,3,16,21,21,9,9,9,1,1,1,1,1,1,biochemical pathways | physiological processes | bioinformatics | semi-targeted lipidomics | lipid differences amongst control | lipidomics (analytical methods using chromatography and mass spectrometry | software development | microbial lipidomics | lipidomics of extracellular vesicles | lipids involved in neurodegeneration and aging | exposomics - environmental lipidomics | lipidomics (analytical methods | alzheimer disease | role of lipid species in human metabolism | intercellular communication | lipid species in human metabolism,"biochemical pathways | physiological processes | bioinformatics | semi-targeted lipidomics | lipid differences amongst control | lipidomics (analytical methods using chromatography and mass spectrometry | software development | microbial lipidomics | lipidomics of extracellular vesicles | lipids involved in neurodegeneration and aging | exposomics - environmental lipidomics | lipidomics (analytical methods | alzheimer disease | role of lipid species in human metabolism | intercellular communication | lipid species in human metabolism | mass spectrometry, database creation, software development, data sciences) | they are involved in disease development | human diseases | please contact me for more information | health and life",0,,"biochemical pathways | physiological processes | bioinformatics | semi-targeted lipidomics | lipid differences amongst control | lipidomics (analytical methods using chromatography and mass spectrometry | software development | microbial lipidomics | lipidomics of extracellular vesicles | lipids involved in neurodegeneration and aging | exposomics - environmental lipidomics | lipidomics (analytical methods | alzheimer disease | role of lipid species in human metabolism | intercellular communication | lipid species in human metabolism | mass spectrometry, database creation, software development, data sciences) | they are involved in disease development | human diseases | please contact me for more information | health and life","mass spectrometry, database creation, software development, data sciences) | they are involved in disease development | human diseases | please contact me for more information | health and life",Assistant Professor | Faculty of Science | Natural Sciences and Engineering Research Council of Canada Tier 2 CRC in Lipidomics,Assistant Professor | Faculty of Science | Natural Sciences and Engineering Research Council of Canada Tier 2 CRC in Lipidomics,Assistant Professor | Faculty of Science | Natural Sciences and Engineering Research Council of Canada Tier 2 CRC in Lipidomics,Course number Course title Semester | BCEM 555 Biomembranes Winter 2024 | BCEM 575 Lipids Fall 2024,Course number Course title Semester | BCEM 555 Biomembranes Winter 2024 | BCEM 575 Lipids Fall 2024,Course number Course title Semester | BCEM 555 Biomembranes Winter 2024 | BCEM 575 Lipids Fall 2024
