normalized_area,display_area,total_appearances,member_count,member_names
stroke,stroke,53,53,Adrianna Giuffre|Aleksandra Mineyko|Alex Lohman|Alim Mitha|Andrew Braun|Andrew Demchuk|Aravind Ganesh|Bijoy Menon|Boguslaw Tomanek|Christopher Kirton|Colin Dalton|Colin Josephson|Danijela Piskulic|David Park|David Patterson Archer|Eric Smith|Ethan MacDonald|Gary Michael Klein|Gordon Campbell Teskey|Helen Carlson|Jeffrey Frank Dunn|Jessalyn Holodinsky|Johanna Ospel|John Wong|Julia Kam|Kamala Devi Patel|Karl Klein|Kelly Larkin-Kaiser|Marc Poulin|Mark Giles Hamilton|Mary Dunbar|Maryam Faiz|Mayank Goyal|Michael Hill|Mohammed Almekhlafi|Nils Daniel Forkert|Patrick Joseph Hanly|Peter Stys|Philip Barber|Pierre LeVan|Richard (Stewart) Longman|Richard Dyck|Richard Frayne|Roberto Souza|Roger Thompson|Ronda Lun|Sean Dukelow|Shelagh Coutts|Stephen Michael McNeil|Steven Peters|Theresa Green|Thomas Erskine Feasby|Tolulope Sajobi
mental health,mental health,43,43,Aaron Gruber|Adrianna Giuffre|Alexander McGirr|Ami Tint|Amy Warren|Audrey-Ann Deneault|Bonnie Kaplan|Catherine Lebel|Dallas Seitz|Danijela Piskulic|Deborah Maryanne Dewey|Derya Sargin|Donald Emile Addington|Emma Towlson|Erica Makarenko|G. Bruce Pike|Gabrielle Wilcox|Jacqueline Smith|Jean Margaret Addington|Joanne Park|Katherine Bright|Kathryn Birnie|Kelly Dean Schwartz|Kimberley Smaniotto - Holmes|Laura Curiel|Lori Montgomery|Matthew Hill|Mohammed Kalathil|Nicole Letourneau|Pamela Roach|Paul Arnold|Rajamannar Ramasubbu|Rita Henderson|Robert Tanguay|Rochelle Bonnie Babins-Wagner|Samuel Pichardo|Samuel Weiss|Stephanie Ann Plamondon|Stephanie Borgland|Stephanie Knaak|Yeonjung Lee|Zahra Clayborne|Zelma Kiss
depression,depression,41,41,Aaron Gruber|Adrianna Giuffre|Andrea Protzner|Andreas Wissmann|Andrew Gabriel McKay Bulloch|Andrew Kim|Carly McMorris|Catherine Lebel|Chad Bousman|Christopher Sears|Colleen Maxwell|Corey Flynn|Daniel McGrath|Darren Laree Clark|David Carson Hodgins|David Hogan|Dawn Kingston|Donald Emile Addington|Eric Chan|Gabrielle Wilcox|Janet de Groot|Julia Kirkham|Katherine Rittenbach|Keith Stephen Dobson|Kristin von Ranson|Matthew Hill|Melanie Noel|Nicole Letourneau|Nils Torben Bech-Hansen|Rajamannar Ramasubbu|Richa Pandey|Robert Tanguay|Samuel Pichardo|Scott Burton Patten|Serena Orr|Sheri Madigan|Stefanie Hassel|Theresa Green|Valerie Taylor|Zahra Goodarzi|Zelma Kiss
pain,pain,39,39,Antoine Dufour|Ashley Harris|Boguslaw Tomanek|Chester Ho|Christophe Altier|Christopher Sears|Colin Dalton|Daniel Pang|David Hogan|David Patterson Archer|Elizabeth Condliffe|Fady Girgis|Farnaz Amoozegar|Gerald Zamponi|Helen Carlson|Jillian Miller|Kathryn Schneider|Lori Montgomery|Ning Cheng|Oury Monchi|Patrick Whelan|Perri Tutelman|Peter Stys|Rajiv Midha|Rebecca Charbonneau|Richard Dyck|Robert Tanguay|Sarah McFarlane|Scott Jarvis|Serena Orr|Shalina Ousman|Stephanie Ann Plamondon|Stephanie Dotchin|Steven Casha|Steven Prescott|Tuan Trang|Veronica Bruno|Willem Wildering|Zelma Kiss
chronic disease,chronic disease,35,35,Amir Sanati Nezhad|Antoine Dufour|Christophe Altier|Darren Derksen|David Nicholas|Hedwich Kuipers|Hermann Schaetzl|Jane Shearer|Jeffrey Biernaskie|Julia Hews-Girard|Katherine Wynne-Edwards|Keith Alexander Sharkey|Kelly Larkin-Kaiser|Leticia Radin Pereira|Marc Poulin|Meghan McDonough|Melanie Rock|Minh Dang Nguyen|Monty Ghosh|Nicole Letourneau|Nils Daniel Forkert|Oluwabukola Salami|Pedro Santamaria|Raymond Turner|Richa Pandey|Rita Henderson|Ryan Peters|Sabine Gilch|Stephanie Borgland|Tamara Bodnar|Tamara Pringsheim|Timothy Shutt|Tuan Trang|Tyler Cluff|Valerie Taylor
neuroimaging,neuroimaging,32,32,Adrianna Giuffre|Ali Golestani|Andrea Protzner|Ashley Harris|Brandy Callahan|Brian Brooks|Catherine Lebel|Chathura Kumaragamage|Christopher Kirton|David Neil Crockford|Ethan MacDonald|Frank MacMaster|Frank Stahnisch|Gabrielle Wilcox|Giuseppe Iaria|Helen Carlson|Jeffrey Frank Dunn|Jillian Miller|Julia Jacobs-Levan|Kara Murias|Leah Mayo|Marc Poulin|Mariana Pinheiro Bento|Mohammed Kalathil|Novarun Deb|Oury Monchi|Philip Barber|Pierre LeVan|Rajamannar Ramasubbu|Sean Dukelow|Signe Bray|Zahinoor Ismail
epidemiology,epidemiology,27,27,Andrew Gabriel McKay Bulloch|Colin Josephson|Colleen Maxwell|Dallas Seitz|Jenny Godley|Jessalyn Holodinsky|Jodie Burton|Jodie Roberts|John Duncan McLennan|Julia Hews-Girard|Kirsten Bobawsky (Fiest)|Lawrence Korngut|Mary Dunbar|Michael Hill|Nathalie Jette|Ronda Lun|Samuel Wiebe|Sarah Morrow|Scott Burton Patten|Serena Orr|Shawn Currie|Stephanie VandenBerg|Stephen West|Tolulope Sajobi|Veronica Bruno|Zahinoor Ismail|Zahra Clayborne
movement disorders,movement disorders,22,22,Angela Haffenden|Bradley Gordon Goodyear|Camila Aquino|Chester Ho|Darren Laree Clark|David Park|Davide Martino|Eric Smith|Fady Girgis|G. Bruce Pike|Gabriela Gilmour|Javier Orlandi|Justyna Sarna|Oury Monchi|Patrick Whelan|Peter Stys|Tamara Pringsheim|Veronica Bruno|Vikram Karnik|William Alexander Fletcher|Yves Starreveld|Zelma Kiss
machine learning,machine learning,21,21,Aaron Gruber|Colin Josephson|Diwakar Krishnamurthy|Eli Kinney-Lang|Ethan MacDonald|Farhad Maleki|Geoffrey Messier|Haixu Wang|Helen Carlson|Jessalyn Holodinsky|Mariana Pinheiro Bento|Nils Daniel Forkert|Oury Monchi|Rajamannar Ramasubbu|Roberto Souza|Sayeh Bayat|Steven Prescott|Svetlana Yanushkevich|Tolulope Sajobi|Yingxu Wang|Yunyan Zhang
alzheimer disease,alzheimer disease,20,20,Adriana Zardini Buzatto|Amanda Tyndall|Arvi Rauk|Boguslaw Tomanek|Colin Dalton|Colleen Maxwell|David Hogan|Ethan MacDonald|Grant Robert Gordon|Joern Davidsen|Julia Kirkham|Ki-Young Lee|Lorraine Venturato|Marc Poulin|Mariana Pinheiro Bento|Minh Dang Nguyen|Novarun Deb|Philip Barber|Sayeh Bayat|Zahinoor Ismail
